ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;10000;10000;262;0;11340;0;-9234;9353;11339;9234;0.0262;0.0019660000000000003;;47986;49127;3832;25292;48046;47890;60439;3640;7573948;47890
2;19;15750;15750;1676;0;7200;720;-5275;5957;7199;5995;0.10641269841269842;0.0012482539682539683;;302673;363377;4659;194552;307052;302579;368770;3640;8302816;302616
3;18;18900;18900;31;0;6000;0;-4644;4642;5999;4644;0.0016402116402116401;0.0010402116402116403;;6451;9431;22659;457691;6451;6356;61649;21647;8859968;6356
4;17;22500;22500;152;0;5040;0;-4130;4130;5039;4130;0.0067555555555555554;0.0008737777777777778;;28228;29285;4642;418635;28228;28133;45931;3647;9476227;28133
5;16;25200;25200;1944;0;4500;1024;-2859;3856;4499;3883;0.07714285714285714;0.0007801587301587302;;350948;415413;40642;422801;361458;350826;667949;39647;9607619;350980
6;15;33750;33750;216;0;3360;60;-2638;2695;3359;2698;0.0064;0.0005825185185185186;;39737;96047;36853;776964;39746;39642;351007;48677;11103123;39659
7;14;39375;39375;1609;0;2880;840;-1620;2437;2879;2460;0.04086349206349206;0.0004993015873015873;;290620;662688;27159;819936;323518;290526;995000;169607;11821317;291493
8;13;40000;40000;770;0;2835;450;-2045;2484;2834;2495;0.01925;0.0004915000000000001;;139459;546107;56410;1113965;180922;139364;504863;351311;11790485;139489
9;12;42000;42000;5088;0;2700;3690;1170;2434;2699;2520;0.12114285714285715;0.00046809523809523816;;917296;2129291;4457;1256774;1060872;917207;1693017;283021;11229387;922831
10;11;60480;60480;2182;0;1875;1157;-349;1477;1874;1506;0.03607804232804233;0.00032506613756613757;;393877;2357775;11866;2232960;556319;393781;1166410;2223026;14776542;397258
11;10;64800;64800;1482;0;1750;825;-583;1391;1749;1408;0.02287037037037037;0.0003033950617283951;;267755;2156564;5379;2633721;416031;267662;638363;2619590;15652673;269219
12;9;65625;65625;317;0;1728;87;-1244;1327;1727;1331;0.004830476190476191;0.0002995809523809524;;57885;2173156;4664;3203841;88970;57832;368062;3200206;15306679;57864
13;8;70000;70000;6756;0;1620;4405;2920;1424;1619;1485;0.09651428571428572;0.00028085714285714286;;1253508;4198493;56422;3276665;1977079;1217563;2001499;3261065;15592699;1225538
14;7;72000;72000;4298;0;1575;2492;1095;1352;1574;1397;0.059694444444444446;0.0002730555555555556;;774995;4606544;4666;4605560;1370330;774901;1547293;4586495;16169425;780221
15;6;75600;75600;2072;0;1500;1030;-47;1058;1499;1077;0.027407407407407408;0.0002600529100529101;;374072;4771040;406123;6115224;691792;373976;747238;6088572;16552405;375724
16;5;78750;78750;3141;0;1440;1587;471;1089;1439;1116;0.03988571428571429;0.00024965079365079365;;566611;4108218;638710;6540166;1116785;566516;1303585;6513193;16384200;569920
17;4;81000;81000;2936;0;1400;1660;523;1105;1399;1137;0.03624691358024691;0.00024271604938271607;;529588;6515606;4666;7124248;1253398;529530;1286783;7096751;17983674;534415
18;3;84375;84375;3803;0;1344;2260;1115;1113;1344;1145;0.045072592592592595;0.00023300740740740743;;685764;9151463;27166;9834037;2083530;685672;1104546;8754719;18491074;689926
19;2;90000;90000;7352;13;1260;4268;3207;1004;1260;1061;0.0816888888888889;0.00021844444444444445;;1325060;12267313;88932;10542700;4821917;1324965;2124320;8422207;18702869;1335935
20;1;100000;100000;12726;1082;1082;7443;6297;1051;1134;1146;0.12726;0.0001966;;2348258;42503425;21488050;956547105;18838186;2292906;3432936;9308189;19654104;2311289
;;113400000;;;;;33998;;;;51868;0.9833568077601412;0.010832243915343915;0.9941890516754851
;;;;;;;-0.5256191540678864;;;;;
