ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;18900;18900;725;0;6002;0;-5411;5462;5999;5411;0.03835978835978836;0.0010402116402116403;;131337;132424;6342;170557;131391;131241;147538;5921;8846413;131300
2;19;22500;22500;242;0;5042;0;-4509;4509;5040;4509;0.010755555555555556;0.0008737777777777778;;44459;45648;4658;238486;44459;44334;55051;3640;9630436;44337
3;18;25200;25200;351;0;4502;120;-3987;4107;4500;4107;0.013928571428571429;0.0007801587301587302;;64047;116426;5486;287135;64117;63952;75592;4767;10051983;63983
4;17;26250;26250;2225;0;4322;720;-3272;3986;4320;3992;0.08476190476190476;0.000748952380952381;;401612;611983;5417;286340;420001;401517;544365;4995;9835913;401555
5;16;33750;33750;1825;0;3361;360;-2634;2986;3360;2994;0.05407407407407407;0.0005825185185185186;;329528;547610;49642;694806;340750;329406;740095;372013;10852779;329503
6;15;37800;37800;2406;0;3001;720;-2106;2823;3000;2826;0.06365079365079365;0.0005201058201058201;;434201;853454;140728;1011959;501863;434105;855019;418145;11144005;434144
7;14;39375;39375;1175;0;2881;480;-2096;2571;2880;2576;0.029841269841269842;0.0004993015873015873;;212505;863536;26683;1449437;252361;212411;352321;733664;11211256;212450
8;13;40000;40000;1138;0;2836;330;-2264;2593;2835;2594;0.02845;0.0004915000000000001;;205780;1410289;4358;1665153;245165;205747;278590;1656706;11114232;205785
9;12;42000;42000;1248;0;2701;225;-2289;2512;2700;2514;0.029714285714285714;0.00046809523809523816;;225629;915825;4649;1874264;245966;225535;777591;1865123;11244864;225574
10;11;47250;47250;5867;0;2401;3075;790;2278;2400;2285;0.12416931216931217;0.0004160846560846561;;1057563;2881986;49649;2104194;1377086;1057443;1528501;1790129;11332395;1059062
11;10;52500;52500;455;0;2161;105;-1698;1803;2160;1803;0.008666666666666666;0.0003744761904761905;;82764;420215;410285;3172166;93360;82669;92592;3153720;12581762;82698
12;9;60000;60000;8766;0;1891;4450;2606;1820;1890;1844;0.1461;0.0003276666666666667;;1579700;4985215;4666;3253531;2774891;1579644;2251527;3239225;12955213;1583039
13;8;60480;60480;1769;0;1875;811;-882;1691;1875;1693;0.029249338624338626;0.00032506613756613757;;319418;4848705;11849;5512912;606037;319325;463762;5493606;14357341;319466
14;7;65625;65625;4728;0;1728;2445;883;1550;1728;1562;0.07204571428571428;0.0002995809523809524;;852396;6237080;27168;5974745;1922061;852303;1119599;5815997;14595916;854052
15;6;70000;70000;5938;24;1620;3115;1643;1454;1620;1472;0.08482857142857143;0.00028085714285714286;;1070331;8573272;4666;8321900;2909243;1070210;1262316;5895745;15086250;1072793
16;5;70875;70875;2172;15;1600;1135;-156;1289;1600;1291;0.030645502645502646;0.0002773897707231041;;392000;9078777;27168;18773864;1191961;391979;533173;6821118;15639797;392535
17;4;72000;72000;1390;26;1575;717;-585;1302;1575;1302;0.019305555555555555;0.0002730555555555556;;251122;8767937;4666;20067069;774476;251103;267969;7336734;15854548;251142
18;3;75600;75600;6894;677;1500;4544;3223;1316;1500;1321;0.0911904761904762;0.0002600529100529101;;1242435;21549682;41501;21216701;8484836;1242416;1723809;7168978;15491497;1245140
19;2;78750;78750;1052;1079;1440;847;21;823;1440;826;0.013358730158730158;0.00024965079365079365;;190249;64716624;6051;127473374;6655789;190260;243400;7991962;16643875;190304
20;1;81000;81000;1026;892;892;436;-634;1065;1400;1070;0.012666666666666666;0.00024271604938271607;;185603;323107617;252700682;7596193791;22529468;185585;787369;8449740;17912884;185978
;;113432920;;;;;24635;;;;47992;0.9857627777777778;0.009331218518518519;0.9950939962962962
;;;;;;;-0.9481225898112442;;;;;
